,trade_index,asset,lot,begin_date,end_date,unit
0,0,6954,1,2000-02-01,2000-02-29,price
1,0,6861,1,2000-02-01,2000-02-29,price
2,1,4063,-1,2000-02-01,2000-02-29,price
3,1,4503,-1,2000-02-01,2000-02-29,price
4,2,2914,1,2000-03-01,2000-03-31,price
5,2,8802,1,2000-03-01,2000-03-31,price
6,3,6758,-1,2000-03-01,2000-03-31,price
7,3,7974,-1,2000-03-01,2000-03-31,price
8,4,7974,1,2000-04-01,2000-04-30,price
9,4,6501,1,2000-04-01,2000-04-30,price
10,5,8031,-1,2000-04-01,2000-04-30,price
11,5,7203,-1,2000-04-01,2000-04-30,price
12,6,6981,1,2000-05-01,2000-05-31,price
13,6,6758,1,2000-05-01,2000-05-31,price
14,7,7267,-1,2000-05-01,2000-05-31,price
15,7,9020,-1,2000-05-01,2000-05-31,price
16,8,7267,1,2000-06-01,2000-06-30,price
17,8,6758,1,2000-06-01,2000-06-30,price
18,9,8802,-1,2000-06-01,2000-06-30,price
19,9,2914,-1,2000-06-01,2000-06-30,price
20,10,6981,1,2000-07-01,2000-07-31,price
21,10,7267,1,2000-07-01,2000-07-31,price
22,11,6501,-1,2000-07-01,2000-07-31,price
23,11,7974,-1,2000-07-01,2000-07-31,price
24,12,6981,1,2000-08-01,2000-08-31,price
25,12,6501,1,2000-08-01,2000-08-31,price
26,13,9020,-1,2000-08-01,2000-08-31,price
27,13,7267,-1,2000-08-01,2000-08-31,price
28,14,4452,1,2000-09-01,2000-09-30,price
29,14,8058,1,2000-09-01,2000-09-30,price
30,15,6981,-1,2000-09-01,2000-09-30,price
31,15,6758,-1,2000-09-01,2000-09-30,price
32,16,4063,1,2000-10-01,2000-10-31,price
33,16,6981,1,2000-10-01,2000-10-31,price
34,17,8058,-1,2000-10-01,2000-10-31,price
35,17,4502,-1,2000-10-01,2000-10-31,price
36,18,6758,1,2000-11-01,2000-11-30,price
37,18,6954,1,2000-11-01,2000-11-30,price
38,19,4452,-1,2000-11-01,2000-11-30,price
39,19,6752,-1,2000-11-01,2000-11-30,price
40,20,6861,1,2000-12-01,2000-12-31,price
41,20,6954,1,2000-12-01,2000-12-31,price
42,21,6981,-1,2000-12-01,2000-12-31,price
43,21,4063,-1,2000-12-01,2000-12-31,price
44,22,6954,1,2001-01-01,2001-01-31,price
45,22,4063,1,2001-01-01,2001-01-31,price
46,23,7974,-1,2001-01-01,2001-01-31,price
47,23,2914,-1,2001-01-01,2001-01-31,price
48,24,4503,1,2001-02-01,2001-02-28,price
49,24,4452,1,2001-02-01,2001-02-28,price
50,25,7751,-1,2001-02-01,2001-02-28,price
51,25,7203,-1,2001-02-01,2001-02-28,price
52,26,6981,1,2001-03-01,2001-03-31,price
53,26,6861,1,2001-03-01,2001-03-31,price
54,27,8802,-1,2001-03-01,2001-03-31,price
55,27,9020,-1,2001-03-01,2001-03-31,price
56,28,4503,1,2001-04-01,2001-04-30,price
57,28,8031,1,2001-04-01,2001-04-30,price
58,29,7267,-1,2001-04-01,2001-04-30,price
59,29,7751,-1,2001-04-01,2001-04-30,price
60,30,4503,1,2001-05-01,2001-05-31,price
61,30,6752,1,2001-05-01,2001-05-31,price
62,31,4063,-1,2001-05-01,2001-05-31,price
63,31,6861,-1,2001-05-01,2001-05-31,price
64,32,6981,1,2001-06-01,2001-06-30,price
65,32,4063,1,2001-06-01,2001-06-30,price
