,trade_index,order_index,assets,lots,open_bars,shut_bars,atakes,acuts,close_bars,durations,open_prices,close_prices,gains
0,0,0,BRK-A,0.22727272727272727,2000-02-29,2000-05-29,3000.0,-500.0,2000-03-10,10 days 00:00:00.000000000,44000.0,41300.0,-613.6363636363636
1,1,1,JNJ,468.42394740237205,2000-02-29,2000-05-29,3000.0,-500.0,2000-05-29,90 days 00:00:00.000000000,21.348182678222656,26.31962776184082,2328.743930362536
2,2,2,PG,657.2387992625419,2000-03-31,2000-06-30,3000.0,-500.0,2000-06-30,91 days 00:00:00.000000000,15.215169906616211,15.357617378234863,93.62200520462808
3,3,3,AMZN,149.2537313432836,2000-03-31,2000-06-30,3000.0,-500.0,2000-04-03,3 days 00:00:00.000000000,67.0,63.5625,-513.0597014925373
4,4,4,MSFT,445.69036961184094,2000-04-28,2000-07-28,3000.0,-500.0,2000-05-10,12 days 00:00:00.000000000,22.437101364135742,21.291107177734375,-510.75857251024627
5,5,5,JPM,372.5678607066004,2000-04-28,2000-07-28,3000.0,-500.0,2000-06-16,49 days 00:00:00.000000000,26.840747833251953,25.363819122314453,-550.2561702501414
6,6,6,AAPL,3830.9733392166877,2000-05-31,2000-08-31,3000.0,-500.0,2000-06-21,21 days 00:00:00.000000000,2.610302686691284,3.4570980072021484,3244.050296650571
7,7,7,AMZN,206.98576972833118,2000-05-31,2000-08-31,3000.0,-500.0,2000-06-19,19 days 00:00:00.000000000,48.3125,45.3125,-620.9573091849935
8,8,8,AMZN,275.38726333907056,2000-06-30,2000-09-30,3000.0,-500.0,2000-07-11,11 days 00:00:00.000000000,36.3125,33.125,-877.7969018932874
9,9,9,BAC,898.4126195333391,2000-06-30,2000-09-30,3000.0,-500.0,2000-09-08,70 days 00:00:00.000000000,11.130743026733398,14.769997596740723,3269.552231388956
10,10,10,AMZN,331.9502074688797,2000-07-31,2000-10-31,3000.0,-500.0,2000-08-24,24 days 00:00:00.000000000,30.125,39.375,3070.539419087137
11,11,11,MSFT,445.29143007983157,2000-07-31,2000-10-31,3000.0,-500.0,2000-09-14,45 days 00:00:00.000000000,22.457202911376953,21.17048454284668,-572.9646624328332
12,12,12,WMT,301.6930645029126,2000-08-31,2000-11-30,3000.0,-500.0,2000-10-09,39 days 00:00:00.000000000,33.146270751953125,31.44123077392578,-514.3987360710481
13,13,13,JNJ,361.72454173322524,2000-08-31,2000-11-30,3000.0,-500.0,2000-11-30,91 days 00:00:00.000000000,27.64534568786621,30.270282745361328,949.5041542009819
